Title,Description,Reference,Category,Applicability,Status,Verification,Author,Reviewer,Parent,Justification
RM-UI-0050 GET /admin/users route shall exist,The system shall expose the GET /admin/users route. Acceptance: authorized requests to /admin/users using HTTP GET do not return HTTP 404.,RM-UI-0050,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/admin.rs (admin_users_page)
RM-UI-0051 GET /admin/users shall require administrator privileges,The system shall restrict GET /admin/users to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0051,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/admin.rs (admin_users_page); src/auth/guards.rs (AdminOnly)
RM-UI-0052 GET /admin/users shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /admin/users requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0052,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/admin.rs (admin_users_page)
RM-UI-0053 GET /admin/backup route shall exist,The system shall expose the GET /admin/backup route. Acceptance: authorized requests to /admin/backup using HTTP GET do not return HTTP 404.,RM-UI-0053,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/admin.rs (admin_backup_page)
RM-UI-0054 GET /admin/backup shall require administrator privileges,The system shall restrict GET /admin/backup to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0054,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/admin.rs (admin_backup_page); src/auth/guards.rs (AdminOnly)
RM-UI-0055 GET /admin/backup shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /admin/backup requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0055,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/admin.rs (admin_backup_page)
RM-UI-0056 POST /admin/backup/generate/<filename> route shall exist,The system shall expose the POST /admin/backup/generate/<filename> route. Acceptance: authorized requests to /admin/backup/generate/<filename> using HTTP POST do not return HTTP 404.,RM-UI-0056,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/admin.rs (generate_backup)
RM-UI-0057 POST /admin/backup/generate/<filename> shall require administrator privileges,The system shall restrict POST /admin/backup/generate/<filename> to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0057,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/admin.rs (generate_backup); src/auth/guards.rs (AdminOnly)
RM-UI-0058 POST /admin/backup/generate/<filename> shall return an Excel (.xls) file download,The system shall return an Excel (.xls) file download for successful POST /admin/backup/generate/<filename> requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0058,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/admin.rs (generate_backup)
RM-UI-0059 GET /logs route shall exist,The system shall expose the GET /logs route. Acceptance: authorized requests to /logs using HTTP GET do not return HTTP 404.,RM-UI-0059,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (show_logs)
RM-UI-0060 GET /logs shall require administrator privileges,The system shall restrict GET /logs to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0060,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (show_logs); src/auth/guards.rs (AdminOnly)
RM-UI-0061 GET /logs shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /logs requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0061,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (show_logs)
RM-UI-0062 GET /logs/<entity_type>/<entity_id> route shall exist,The system shall expose the GET /logs/<entity_type>/<entity_id> route. Acceptance: authorized requests to /logs/<entity_type>/<entity_id> using HTTP GET do not return HTTP 404.,RM-UI-0062,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (show_entity_logs)
RM-UI-0063 GET /logs/<entity_type>/<entity_id> shall require administrator privileges,The system shall restrict GET /logs/<entity_type>/<entity_id> to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0063,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (show_entity_logs); src/auth/guards.rs (AdminOnly)
RM-UI-0064 GET /logs/<entity_type>/<entity_id> shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /logs/<entity_type>/<entity_id> requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0064,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (show_entity_logs)
RM-UI-0065 GET /export_logs route shall exist,The system shall expose the GET /export_logs route. Acceptance: authorized requests to /export_logs using HTTP GET do not return HTTP 404.,RM-UI-0065,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (export_logs)
RM-UI-0066 GET /export_logs shall require administrator privileges,The system shall restrict GET /export_logs to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0066,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (export_logs); src/auth/guards.rs (AdminOnly)
RM-UI-0067 GET /export_logs shall return a JSON response,The system shall return a JSON response for successful GET /export_logs requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0067,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (export_logs)
RM-UI-0068 GET /export_logs/<entity_type>/<entity_id> route shall exist,The system shall expose the GET /export_logs/<entity_type>/<entity_id> route. Acceptance: authorized requests to /export_logs/<entity_type>/<entity_id> using HTTP GET do not return HTTP 404.,RM-UI-0068,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (export_entity_logs)
RM-UI-0069 GET /export_logs/<entity_type>/<entity_id> shall require administrator privileges,The system shall restrict GET /export_logs/<entity_type>/<entity_id> to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0069,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (export_entity_logs); src/auth/guards.rs (AdminOnly)
RM-UI-0070 GET /export_logs/<entity_type>/<entity_id> shall return a JSON response,The system shall return a JSON response for successful GET /export_logs/<entity_type>/<entity_id> requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0070,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (export_entity_logs)
RM-UI-0071 POST /cleanup_logs route shall exist,The system shall expose the POST /cleanup_logs route. Acceptance: authorized requests to /cleanup_logs using HTTP POST do not return HTTP 404.,RM-UI-0071,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (cleanup_logs)
RM-UI-0072 POST /cleanup_logs shall require administrator privileges,The system shall restrict POST /cleanup_logs to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0072,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (cleanup_logs); src/auth/guards.rs (AdminOnly)
RM-UI-0073 POST /cleanup_logs shall return a redirect response,The system shall return a redirect response for successful POST /cleanup_logs requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0073,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (cleanup_logs)
RM-UI-0074 GET /log_analytics route shall exist,The system shall expose the GET /log_analytics route. Acceptance: authorized requests to /log_analytics using HTTP GET do not return HTTP 404.,RM-UI-0074,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (log_analytics)
RM-UI-0075 GET /log_analytics shall require administrator privileges,The system shall restrict GET /log_analytics to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0075,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (log_analytics); src/auth/guards.rs (AdminOnly)
RM-UI-0076 GET /log_analytics shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /log_analytics requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0076,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/logs.rs (log_analytics)
RM-UI-0077 GET /admin/cache route shall exist,The system shall expose the GET /admin/cache route. Acceptance: authorized requests to /admin/cache using HTTP GET do not return HTTP 404.,RM-UI-0077,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (cache_stats_page)
RM-UI-0078 GET /admin/cache shall be accessible without authentication,"The system shall allow unauthenticated clients to access GET /admin/cache. Acceptance: when no session cookie is provided, the route returns a 2xx/3xx response.",RM-UI-0078,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (cache_stats_page)
RM-UI-0079 GET /admin/cache shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /admin/cache requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0079,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (cache_stats_page)
RM-UI-0080 POST /admin/cache/clear route shall exist,The system shall expose the POST /admin/cache/clear route. Acceptance: authorized requests to /admin/cache/clear using HTTP POST do not return HTTP 404.,RM-UI-0080,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (clear_cache)
RM-UI-0081 POST /admin/cache/clear shall be accessible without authentication,"The system shall allow unauthenticated clients to access POST /admin/cache/clear. Acceptance: when no session cookie is provided, the route returns a 2xx/3xx response.",RM-UI-0081,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (clear_cache)
RM-UI-0082 POST /admin/cache/clear shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful POST /admin/cache/clear requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0082,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (clear_cache)
RM-UI-0083 POST /admin/cache/cleanup route shall exist,The system shall expose the POST /admin/cache/cleanup route. Acceptance: authorized requests to /admin/cache/cleanup using HTTP POST do not return HTTP 404.,RM-UI-0083,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (cleanup_cache)
RM-UI-0084 POST /admin/cache/cleanup shall be accessible without authentication,"The system shall allow unauthenticated clients to access POST /admin/cache/cleanup. Acceptance: when no session cookie is provided, the route returns a 2xx/3xx response.",RM-UI-0084,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (cleanup_cache)
RM-UI-0085 POST /admin/cache/cleanup shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful POST /admin/cache/cleanup requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0085,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (cleanup_cache)
RM-UI-0086 GET /cache/health route shall exist,The system shall expose the GET /cache/health route. Acceptance: authorized requests to /cache/health using HTTP GET do not return HTTP 404.,RM-UI-0086,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (cache_health_page)
RM-UI-0087 GET /cache/health shall require administrator privileges,The system shall restrict GET /cache/health to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0087,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (cache_health_page); src/auth/guards.rs (AdminOnly)
RM-UI-0088 GET /cache/health shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /cache/health requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0088,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (cache_health_page)
RM-UI-0089 GET /cache/warm route shall exist,The system shall expose the GET /cache/warm route. Acceptance: authorized requests to /cache/warm using HTTP GET do not return HTTP 404.,RM-UI-0089,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (warm_cache_route)
RM-UI-0090 GET /cache/warm shall require administrator privileges,The system shall restrict GET /cache/warm to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0090,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (warm_cache_route); src/auth/guards.rs (AdminOnly)
RM-UI-0091 GET /cache/warm shall return a redirect response,The system shall return a redirect response for successful GET /cache/warm requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0091,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/cache.rs (warm_cache_route)
RM-UI-0092 GET /user/profile route shall exist,The system shall expose the GET /user/profile route. Acceptance: authorized requests to /user/profile using HTTP GET do not return HTTP 404.,RM-UI-0092,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (profile)
RM-UI-0093 GET /user/profile shall require authentication,"The system shall restrict GET /user/profile to authenticated users. Acceptance: when no session cookie is provided, the route returns HTTP 401 Unauthorized.",RM-UI-0093,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (profile); src/auth/guards.rs (SessionUser)
RM-UI-0094 GET /user/profile shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /user/profile requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0094,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (profile)
RM-UI-0095 GET /user/profile/edit route shall exist,The system shall expose the GET /user/profile/edit route. Acceptance: authorized requests to /user/profile/edit using HTTP GET do not return HTTP 404.,RM-UI-0095,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (edit_profile)
RM-UI-0096 GET /user/profile/edit shall require authentication,"The system shall restrict GET /user/profile/edit to authenticated users. Acceptance: when no session cookie is provided, the route returns HTTP 401 Unauthorized.",RM-UI-0096,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (edit_profile); src/auth/guards.rs (SessionUser)
RM-UI-0097 GET /user/profile/edit shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /user/profile/edit requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0097,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (edit_profile)
RM-UI-0098 POST /user/profile/edit route shall exist,The system shall expose the POST /user/profile/edit route. Acceptance: authorized requests to /user/profile/edit using HTTP POST do not return HTTP 404.,RM-UI-0098,User Interface,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (post_edit_profile)
RM-UI-0099 POST /user/profile/edit shall require authentication,"The system shall restrict POST /user/profile/edit to authenticated users. Acceptance: when no session cookie is provided, the route returns HTTP 401 Unauthorized.",RM-UI-0099,User Interface,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (post_edit_profile); src/auth/guards.rs (SessionUser)
RM-UI-0100 POST /user/profile/edit shall return a redirect response,The system shall return a redirect response for successful POST /user/profile/edit requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0100,User Interface,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (post_edit_profile)
RM-UI-0101 GET /user/<user_id>/show route shall exist,The system shall expose the GET /user/<user_id>/show route. Acceptance: authorized requests to /user/<user_id>/show using HTTP GET do not return HTTP 404.,RM-UI-0101,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (show_user_id)
RM-UI-0102 GET /user/<user_id>/show shall require administrator privileges,The system shall restrict GET /user/<user_id>/show to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0102,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (show_user_id); src/auth/guards.rs (AdminOnly)
RM-UI-0103 GET /user/<user_id>/show shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /user/<user_id>/show requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0103,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (show_user_id)
RM-UI-0104 GET /user/<user_id>/edit route shall exist,The system shall expose the GET /user/<user_id>/edit route. Acceptance: authorized requests to /user/<user_id>/edit using HTTP GET do not return HTTP 404.,RM-UI-0104,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (edit_user)
RM-UI-0105 GET /user/<user_id>/edit shall require administrator privileges,The system shall restrict GET /user/<user_id>/edit to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0105,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (edit_user); src/auth/guards.rs (AdminOnly)
RM-UI-0106 GET /user/<user_id>/edit shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /user/<user_id>/edit requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0106,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (edit_user)
RM-UI-0107 POST /user/<user_id>/edit route shall exist,The system shall expose the POST /user/<user_id>/edit route. Acceptance: authorized requests to /user/<user_id>/edit using HTTP POST do not return HTTP 404.,RM-UI-0107,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (post_edit_user)
RM-UI-0108 POST /user/<user_id>/edit shall require administrator privileges,The system shall restrict POST /user/<user_id>/edit to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0108,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (post_edit_user); src/auth/guards.rs (AdminOnly)
RM-UI-0109 POST /user/<user_id>/edit shall return a redirect response,The system shall return a redirect response for successful POST /user/<user_id>/edit requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0109,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (post_edit_user)
RM-UI-0110 GET /user/new route shall exist,The system shall expose the GET /user/new route. Acceptance: authorized requests to /user/new using HTTP GET do not return HTTP 404.,RM-UI-0110,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (new_user_page)
RM-UI-0111 GET /user/new shall require administrator privileges,The system shall restrict GET /user/new to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0111,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (new_user_page); src/auth/guards.rs (AdminOnly)
RM-UI-0112 GET /user/new shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /user/new requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0112,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (new_user_page)
RM-UI-0113 POST /user/new route shall exist,The system shall expose the POST /user/new route. Acceptance: authorized requests to /user/new using HTTP POST do not return HTTP 404.,RM-UI-0113,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (post_user)
RM-UI-0114 POST /user/new shall require administrator privileges,The system shall restrict POST /user/new to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0114,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (post_user); src/auth/guards.rs (AdminOnly)
RM-UI-0115 POST /user/new shall return a redirect response,The system shall return a redirect response for successful POST /user/new requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0115,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/user.rs (post_user)
RM-UI-0116 GET /p/<project_id> route shall exist,The system shall expose the GET /p/<project_id> route. Acceptance: authorized requests to /p/<project_id> using HTTP GET do not return HTTP 404.,RM-UI-0116,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/project.rs (show_project_id)
RM-UI-0117 GET /p/<project_id> shall require project membership,The system shall restrict GET /p/<project_id> to authenticated users with access to the addressed project. Acceptance: a non-member authenticated user receives HTTP 403 Forbidden.,RM-UI-0117,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/project.rs (show_project_id); src/auth/guards.rs (ProjectAccess)
RM-UI-0118 GET /p/<project_id> shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /p/<project_id> requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0118,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/project.rs (show_project_id)
RM-UI-0119 GET /p/<project_id>/edit route shall exist,The system shall expose the GET /p/<project_id>/edit route. Acceptance: authorized requests to /p/<project_id>/edit using HTTP GET do not return HTTP 404.,RM-UI-0119,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/project.rs (get_edit_project)
RM-UI-0120 GET /p/<project_id>/edit shall require administrator privileges,The system shall restrict GET /p/<project_id>/edit to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0120,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/project.rs (get_edit_project); src/auth/guards.rs (AdminOnly)
RM-UI-0121 GET /p/<project_id>/edit shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /p/<project_id>/edit requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0121,User Interface,Administrators,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/project.rs (get_edit_project)
RM-UI-0122 POST /p/<project_id>/edit route shall exist,The system shall expose the POST /p/<project_id>/edit route. Acceptance: authorized requests to /p/<project_id>/edit using HTTP POST do not return HTTP 404.,RM-UI-0122,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/project.rs (post_edit_project)
RM-UI-0123 POST /p/<project_id>/edit shall require administrator privileges,The system shall restrict POST /p/<project_id>/edit to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0123,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/project.rs (post_edit_project); src/auth/guards.rs (AdminOnly)
RM-UI-0124 POST /p/<project_id>/edit shall return a redirect response,The system shall return a redirect response for successful POST /p/<project_id>/edit requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0124,User Interface,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/project.rs (post_edit_project)
RM-UI-0125 DELETE /p/<project_id>/delete route shall exist,The system shall expose the DELETE /p/<project_id>/delete route. Acceptance: authorized requests to /p/<project_id>/delete using HTTP DELETE do not return HTTP 404.,RM-UI-0125,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/project.rs (delete_project_route)
RM-UI-0126 DELETE /p/<project_id>/delete shall require administrator privileges,The system shall restrict DELETE /p/<project_id>/delete to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-UI-0126,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/project.rs (delete_project_route); src/auth/guards.rs (AdminOnly)
